0;(0, 0);18.6
1;(0, 1);17.8
2;(0, 4);15.56
3;(0, 5);14.87
4;(0, 6);14.21
5;(0, 7);13.6
6;(0, 8);13.04
7;(0, 9);12.53
8;(0, 10);12.08
9;(0, 11);11.7
10;(0, 12);11.4
11;(0, 13);11.18
12;(0, 14);11.05
13;(0, 15);11.0
14;(1, 1);17.2
15;(1, 2);16.4
16;(1, 4);14.87
17;(1, 5);14.14
18;(1, 6);13.45
19;(1, 7);12.81
20;(1, 11);10.77
21;(1, 12);10.44
22;(1, 13);10.2
23;(1, 14);10.05
24;(1, 15);10.0
25;(2, 0);17.49
26;(2, 2);15.81
27;(2, 4);14.21
28;(2, 5);13.45
29;(2, 8);11.4
30;(2, 9);10.82
31;(2, 10);10.3
32;(2, 12);9.49
33;(2, 13);9.22
34;(2, 14);9.06
35;(2, 15);9.0
36;(3, 0);17.0
37;(3, 2);15.26
38;(3, 4);13.6
39;(3, 6);12.04
40;(3, 7);11.31
41;(3, 9);10.0
42;(3, 10);9.43
43;(3, 13);8.25
44;(3, 14);8.06
45;(3, 15);8.0
46;(4, 0);16.55
47;(4, 2);14.76
48;(4, 3);13.89
49;(4, 5);12.21
50;(4, 6);11.4
51;(4, 7);10.63
52;(4, 8);9.9
53;(4, 9);9.22
54;(4, 10);8.6
55;(4, 11);8.06
56;(4, 12);7.62
57;(4, 14);7.07
58;(4, 15);7.0
59;(5, 0);16.16
60;(5, 1);15.23
61;(5, 3);13.42
62;(5, 4);12.53
63;(5, 5);11.66
64;(5, 6);10.82
65;(5, 8);9.22
66;(5, 9);8.49
67;(5, 11);7.21
68;(5, 12);6.71
69;(5, 14);6.08
70;(5, 15);6.0
71;(6, 0);15.81
72;(6, 1);14.87
73;(6, 3);13.0
74;(6, 4);12.08
75;(6, 5);11.18
76;(6, 6);10.3
77;(6, 8);8.6
78;(6, 9);7.81
79;(6, 10);7.07
80;(6, 12);5.83
81;(6, 15);5.0
82;(7, 0);15.52
83;(7, 1);14.56
84;(7, 3);12.65
85;(7, 4);11.7
86;(7, 5);10.77
87;(7, 6);9.85
88;(7, 9);7.21
89;(7, 12);5.0
90;(7, 14);4.12
91;(7, 15);4.0
92;(8, 0);15.3
93;(8, 1);14.32
94;(8, 4);11.4
95;(8, 6);9.49
96;(8, 7);8.54
97;(8, 9);6.71
98;(8, 10);5.83
99;(8, 12);4.24
100;(8, 13);3.61
101;(9, 0);15.13
102;(9, 1);14.14
103;(9, 2);13.15
104;(9, 6);9.22
105;(9, 9);6.32
106;(9, 10);5.39
107;(9, 11);4.47
108;(9, 12);3.61
109;(9, 13);2.83
110;(9, 14);2.24
111;(9, 15);2.0
112;(10, 0);15.03
113;(10, 1);14.04
114;(10, 2);13.04
115;(10, 3);12.04
116;(10, 4);11.05
117;(10, 5);10.05
118;(10, 15);1.0
119;(11, 0);15.0
120;(11, 1);14.0
121;(11, 2);13.0
122;(11, 3);12.0
123;(11, 4);11.0
124;(11, 5);10.0
125;(11, 6);9.0
126;(11, 7);8.0
127;(11, 8);7.0
128;(11, 9);6.0
129;(11, 10);5.0
130;(11, 11);4.0
131;(11, 12);3.0
132;(11, 13);2.0
133;(11, 14);1.0
134;(11, 15);0.0
